,session,dropout,day,game,round,gameId,player,action,opp_action,payoff,total_time,time
284614,3pm,False,16,1,1,gPeA6MQtuqDa4XhXJ,t5q8PtjTJ5tBCCA48,1,1,5,10.024,10.064
284615,3pm,False,16,1,1,gPeA6MQtuqDa4XhXJ,KDajqFq67D4HmjgFi,1,1,5,9.021,9.061
284616,3pm,False,16,1,2,gPeA6MQtuqDa4XhXJ,KDajqFq67D4HmjgFi,1,1,5,13.450999999999999,1.037
284617,3pm,False,16,1,2,gPeA6MQtuqDa4XhXJ,t5q8PtjTJ5tBCCA48,1,1,5,13.802,1.3880000000000001
284618,3pm,False,16,1,3,gPeA6MQtuqDa4XhXJ,t5q8PtjTJ5tBCCA48,1,1,5,16.887,0.836
284619,3pm,False,16,1,3,gPeA6MQtuqDa4XhXJ,KDajqFq67D4HmjgFi,1,1,5,17.107,1.056
284620,3pm,False,16,1,4,gPeA6MQtuqDa4XhXJ,KDajqFq67D4HmjgFi,1,1,5,20.169,1.015
284621,3pm,False,16,1,4,gPeA6MQtuqDa4XhXJ,t5q8PtjTJ5tBCCA48,1,1,5,20.035,0.8809999999999999
284622,3pm,False,16,1,5,gPeA6MQtuqDa4XhXJ,KDajqFq67D4HmjgFi,1,1,5,24.288,1.186
284623,3pm,False,16,1,5,gPeA6MQtuqDa4XhXJ,t5q8PtjTJ5tBCCA48,1,1,5,24.022,0.92
284624,3pm,False,16,1,6,gPeA6MQtuqDa4XhXJ,KDajqFq67D4HmjgFi,1,1,5,27.135,1.153
284625,3pm,False,16,1,6,gPeA6MQtuqDa4XhXJ,t5q8PtjTJ5tBCCA48,1,1,5,30.201999999999998,4.22
284626,3pm,False,16,1,7,gPeA6MQtuqDa4XhXJ,t5q8PtjTJ5tBCCA48,1,1,5,38.594,6.0729999999999995
284627,3pm,False,16,1,7,gPeA6MQtuqDa4XhXJ,KDajqFq67D4HmjgFi,1,1,5,33.543,1.022
284628,3pm,False,16,1,8,gPeA6MQtuqDa4XhXJ,t5q8PtjTJ5tBCCA48,1,1,5,43.238,1.354
284629,3pm,False,16,1,8,gPeA6MQtuqDa4XhXJ,KDajqFq67D4HmjgFi,1,1,5,42.018,0.134
284630,3pm,False,16,1,9,gPeA6MQtuqDa4XhXJ,t5q8PtjTJ5tBCCA48,0,1,7,47.29600000000001,1.406
284631,3pm,False,16,1,9,gPeA6MQtuqDa4XhXJ,KDajqFq67D4HmjgFi,1,0,1,47.049,1.159
284632,3pm,False,16,1,10,gPeA6MQtuqDa4XhXJ,KDajqFq67D4HmjgFi,0,0,3,54.979,2.347
284633,3pm,False,16,1,10,gPeA6MQtuqDa4XhXJ,t5q8PtjTJ5tBCCA48,0,0,3,54.228,1.5959999999999999
284634,3pm,False,16,1,1,fBL6LxLXHvex3YWcx,tzL2T9dTkXA87Wgjj,1,1,5,12.158,12.280999999999999
284635,3pm,False,16,1,1,fBL6LxLXHvex3YWcx,6LhxgMZpkBtWu5S2E,1,1,5,7.436,7.559
284636,3pm,False,16,1,2,fBL6LxLXHvex3YWcx,6LhxgMZpkBtWu5S2E,1,1,5,14.617,0.8190000000000001
284637,3pm,False,16,1,2,fBL6LxLXHvex3YWcx,tzL2T9dTkXA87Wgjj,1,1,5,15.460999999999999,1.663
284638,3pm,False,16,1,3,fBL6LxLXHvex3YWcx,6LhxgMZpkBtWu5S2E,1,1,5,18.435,0.542
284639,3pm,False,16,1,3,fBL6LxLXHvex3YWcx,tzL2T9dTkXA87Wgjj,1,1,5,20.208,2.315
284640,3pm,False,16,1,4,fBL6LxLXHvex3YWcx,tzL2T9dTkXA87Wgjj,1,1,5,25.338,2.2680000000000002
284641,3pm,False,16,1,4,fBL6LxLXHvex3YWcx,6LhxgMZpkBtWu5S2E,1,1,5,23.703000000000003,0.633
284642,3pm,False,16,1,5,fBL6LxLXHvex3YWcx,6LhxgMZpkBtWu5S2E,1,1,5,28.052,0.579
284643,3pm,False,16,1,5,fBL6LxLXHvex3YWcx,tzL2T9dTkXA87Wgjj,1,1,5,31.648000000000003,4.175
284644,3pm,False,16,1,6,fBL6LxLXHvex3YWcx,6LhxgMZpkBtWu5S2E,1,1,5,34.635999999999996,1.078
284645,3pm,False,16,1,6,fBL6LxLXHvex3YWcx,tzL2T9dTkXA87Wgjj,1,1,5,35.955999999999996,2.398
284646,3pm,False,16,1,7,fBL6LxLXHvex3YWcx,6LhxgMZpkBtWu5S2E,1,1,5,39.762,0.758
284647,3pm,False,16,1,7,fBL6LxLXHvex3YWcx,tzL2T9dTkXA87Wgjj,1,1,5,40.166,1.162
284648,3pm,False,16,1,8,fBL6LxLXHvex3YWcx,6LhxgMZpkBtWu5S2E,1,1,5,43.816,0.804
284649,3pm,False,16,1,8,fBL6LxLXHvex3YWcx,tzL2T9dTkXA87Wgjj,1,1,5,43.937,0.925
284650,3pm,False,16,1,9,fBL6LxLXHvex3YWcx,6LhxgMZpkBtWu5S2E,1,1,5,48.651,0.73
284651,3pm,False,16,1,9,fBL6LxLXHvex3YWcx,tzL2T9dTkXA87Wgjj,1,1,5,48.912,0.991
284652,3pm,False,16,1,10,fBL6LxLXHvex3YWcx,tzL2T9dTkXA87Wgjj,0,1,7,53.582,0.985
284653,3pm,False,16,1,10,fBL6LxLXHvex3YWcx,6LhxgMZpkBtWu5S2E,1,0,1,53.292,0.695
284654,3pm,False,16,1,1,r4CPsLQpbL6by9Nnn,2JL4pHMmPJRnrcQNh,1,1,5,7.385,7.4
284655,3pm,False,16,1,1,r4CPsLQpbL6by9Nnn,mLYACvRN7p3Pjwkm5,1,1,5,8.673,8.687999999999999
284656,3pm,False,16,1,2,r4CPsLQpbL6by9Nnn,mLYACvRN7p3Pjwkm5,1,1,5,12.395,2.8139999999999996
284657,3pm,False,16,1,2,r4CPsLQpbL6by9Nnn,2JL4pHMmPJRnrcQNh,1,1,5,11.455,1.874
284658,3pm,False,16,1,3,r4CPsLQpbL6by9Nnn,mLYACvRN7p3Pjwkm5,1,1,5,16.448,1.999
284659,3pm,False,16,1,3,r4CPsLQpbL6by9Nnn,2JL4pHMmPJRnrcQNh,1,1,5,14.722000000000001,0.273
284660,3pm,False,16,1,4,r4CPsLQpbL6by9Nnn,mLYACvRN7p3Pjwkm5,1,1,5,19.803,1.7109999999999999
284661,3pm,False,16,1,4,r4CPsLQpbL6by9Nnn,2JL4pHMmPJRnrcQNh,1,1,5,19.46,1.368
284662,3pm,False,16,1,5,r4CPsLQpbL6by9Nnn,mLYACvRN7p3Pjwkm5,1,1,5,24.479,1.683
284663,3pm,False,16,1,5,r4CPsLQpbL6by9Nnn,2JL4pHMmPJRnrcQNh,1,1,5,23.671,0.875
284664,3pm,False,16,1,6,r4CPsLQpbL6by9Nnn,mLYACvRN7p3Pjwkm5,1,1,5,28.339000000000002,1.595
284665,3pm,False,16,1,6,r4CPsLQpbL6by9Nnn,2JL4pHMmPJRnrcQNh,1,1,5,27.783,1.0390000000000001
284666,3pm,False,16,1,7,r4CPsLQpbL6by9Nnn,mLYACvRN7p3Pjwkm5,1,1,5,31.496,1.239
284667,3pm,False,16,1,7,r4CPsLQpbL6by9Nnn,2JL4pHMmPJRnrcQNh,1,1,5,31.456,1.199
284668,3pm,False,16,1,8,r4CPsLQpbL6by9Nnn,mLYACvRN7p3Pjwkm5,1,1,5,34.485,1.6230000000000002
284669,3pm,False,16,1,8,r4CPsLQpbL6by9Nnn,2JL4pHMmPJRnrcQNh,1,1,5,34.479,1.617
284670,3pm,False,16,1,9,r4CPsLQpbL6by9Nnn,2JL4pHMmPJRnrcQNh,0,1,7,38.579,1.3119999999999998
284671,3pm,False,16,1,9,r4CPsLQpbL6by9Nnn,mLYACvRN7p3Pjwkm5,1,0,1,38.359,1.092
284672,3pm,False,16,1,10,r4CPsLQpbL6by9Nnn,mLYACvRN7p3Pjwkm5,0,0,3,44.693000000000005,2.309
284673,3pm,False,16,1,10,r4CPsLQpbL6by9Nnn,2JL4pHMmPJRnrcQNh,0,0,3,44.483999999999995,2.1
284674,3pm,False,16,1,1,hNXwup9R9dGNKBmqZ,Ra7AoE9MgzhRNNyqm,1,1,5,8.052999999999999,8.075
284675,3pm,False,16,1,1,hNXwup9R9dGNKBmqZ,ZDsXeXNyYGrPrWv85,1,1,5,13.1,13.122
284676,3pm,False,16,1,2,hNXwup9R9dGNKBmqZ,ZDsXeXNyYGrPrWv85,1,1,5,30.099,14.879000000000001
284677,3pm,False,16,1,2,hNXwup9R9dGNKBmqZ,Ra7AoE9MgzhRNNyqm,1,1,5,22.641,7.421
284678,3pm,False,16,1,3,hNXwup9R9dGNKBmqZ,ZDsXeXNyYGrPrWv85,1,1,5,34.286,1.932
284679,3pm,False,16,1,3,hNXwup9R9dGNKBmqZ,Ra7AoE9MgzhRNNyqm,1,1,5,45.26,12.905999999999999
284680,3pm,False,16,1,4,hNXwup9R9dGNKBmqZ,ZDsXeXNyYGrPrWv85,1,1,5,51.105,1.8159999999999998
284681,3pm,False,16,1,4,hNXwup9R9dGNKBmqZ,Ra7AoE9MgzhRNNyqm,1,1,5,50.176,0.887
284682,3pm,False,16,1,5,hNXwup9R9dGNKBmqZ,ZDsXeXNyYGrPrWv85,1,1,5,56.291000000000004,2.005
284683,3pm,False,16,1,5,hNXwup9R9dGNKBmqZ,Ra7AoE9MgzhRNNyqm,1,1,5,57.233000000000004,2.947
284684,3pm,False,16,1,6,hNXwup9R9dGNKBmqZ,ZDsXeXNyYGrPrWv85,1,1,5,62.833999999999996,1.4509999999999998
284685,3pm,False,16,1,6,hNXwup9R9dGNKBmqZ,Ra7AoE9MgzhRNNyqm,1,1,5,64.958,3.575
284686,3pm,False,16,1,7,hNXwup9R9dGNKBmqZ,Ra7AoE9MgzhRNNyqm,0,1,7,66.69800000000001,1.278
284687,3pm,False,16,1,7,hNXwup9R9dGNKBmqZ,ZDsXeXNyYGrPrWv85,1,0,1,73.32,7.9
284688,3pm,False,16,1,8,hNXwup9R9dGNKBmqZ,Ra7AoE9MgzhRNNyqm,0,0,3,81.28,7.829
284689,3pm,False,16,1,8,hNXwup9R9dGNKBmqZ,ZDsXeXNyYGrPrWv85,0,0,3,75.92699999999999,2.476
284690,3pm,False,16,1,9,hNXwup9R9dGNKBmqZ,ZDsXeXNyYGrPrWv85,0,0,3,83.59700000000001,2.039
284691,3pm,False,16,1,9,hNXwup9R9dGNKBmqZ,Ra7AoE9MgzhRNNyqm,0,0,3,94.961,13.402999999999999
284692,3pm,False,16,1,10,hNXwup9R9dGNKBmqZ,ZDsXeXNyYGrPrWv85,0,0,3,97.26700000000001,2.181
284693,3pm,False,16,1,10,hNXwup9R9dGNKBmqZ,Ra7AoE9MgzhRNNyqm,0,0,3,96.56200000000001,1.476
284694,3pm,False,16,1,1,Nqj3HkDmCwkgStA9k,8MA6Hc3GAcbHz3R6A,1,1,5,7.232,7.247000000000001
284695,3pm,False,16,1,1,Nqj3HkDmCwkgStA9k,Tc45bCturosac5S5F,1,1,5,11.065999999999999,11.081
284696,3pm,False,16,1,2,Nqj3HkDmCwkgStA9k,8MA6Hc3GAcbHz3R6A,1,1,5,13.323,0.632
284697,3pm,False,16,1,2,Nqj3HkDmCwkgStA9k,Tc45bCturosac5S5F,1,1,5,14.065999999999999,1.375
284698,3pm,False,16,1,3,Nqj3HkDmCwkgStA9k,Tc45bCturosac5S5F,1,1,5,17.36,0.685
284699,3pm,False,16,1,3,Nqj3HkDmCwkgStA9k,8MA6Hc3GAcbHz3R6A,1,1,5,17.39,0.715
284700,3pm,False,16,1,4,Nqj3HkDmCwkgStA9k,8MA6Hc3GAcbHz3R6A,1,1,5,29.076,8.849
284701,3pm,False,16,1,4,Nqj3HkDmCwkgStA9k,Tc45bCturosac5S5F,1,1,5,22.566999999999997,2.34
284702,3pm,False,16,1,5,Nqj3HkDmCwkgStA9k,Tc45bCturosac5S5F,1,1,5,32.93,1.57
284703,3pm,False,16,1,5,Nqj3HkDmCwkgStA9k,8MA6Hc3GAcbHz3R6A,1,1,5,32.134,0.774
284704,3pm,False,16,1,6,Nqj3HkDmCwkgStA9k,Tc45bCturosac5S5F,1,1,5,35.845,0.752
284705,3pm,False,16,1,6,Nqj3HkDmCwkgStA9k,8MA6Hc3GAcbHz3R6A,1,1,5,36.064,0.971
284706,3pm,False,16,1,7,Nqj3HkDmCwkgStA9k,Tc45bCturosac5S5F,1,1,5,41.761,2.6910000000000003
284707,3pm,False,16,1,7,Nqj3HkDmCwkgStA9k,8MA6Hc3GAcbHz3R6A,1,1,5,39.271,0.201
284708,3pm,False,16,1,8,Nqj3HkDmCwkgStA9k,Tc45bCturosac5S5F,1,1,5,46.068999999999996,1.8459999999999999
284709,3pm,False,16,1,8,Nqj3HkDmCwkgStA9k,8MA6Hc3GAcbHz3R6A,1,1,5,45.806999999999995,1.584
284710,3pm,False,16,1,9,Nqj3HkDmCwkgStA9k,8MA6Hc3GAcbHz3R6A,0,1,7,52.341,0.767
284711,3pm,False,16,1,9,Nqj3HkDmCwkgStA9k,Tc45bCturosac5S5F,1,0,1,52.244,0.67
284712,3pm,False,16,1,10,Nqj3HkDmCwkgStA9k,8MA6Hc3GAcbHz3R6A,0,0,3,56.08,1.091
284713,3pm,False,16,1,10,Nqj3HkDmCwkgStA9k,Tc45bCturosac5S5F,0,0,3,56.42100000000001,1.432
284714,3pm,False,16,1,1,2tiyj8HeDaA9t8iQK,tC6Zy7o6EXbD8Q3ya,1,1,5,9.767999999999999,9.792
284715,3pm,False,16,1,1,2tiyj8HeDaA9t8iQK,WYXQudKcy8KMRqPQF,1,1,5,9.363999999999999,9.388
284716,3pm,False,16,1,2,2tiyj8HeDaA9t8iQK,tC6Zy7o6EXbD8Q3ya,1,1,5,14.157,2.126
284717,3pm,False,16,1,2,2tiyj8HeDaA9t8iQK,WYXQudKcy8KMRqPQF,1,1,5,16.337,4.306
284718,3pm,False,16,1,3,2tiyj8HeDaA9t8iQK,WYXQudKcy8KMRqPQF,1,1,5,20.906999999999996,2.628
284719,3pm,False,16,1,3,2tiyj8HeDaA9t8iQK,tC6Zy7o6EXbD8Q3ya,1,1,5,22.641,4.362
284720,3pm,False,16,1,4,2tiyj8HeDaA9t8iQK,WYXQudKcy8KMRqPQF,1,1,5,30.909000000000002,6.9910000000000005
284721,3pm,False,16,1,4,2tiyj8HeDaA9t8iQK,tC6Zy7o6EXbD8Q3ya,1,1,5,26.122,2.204
284722,3pm,False,16,1,5,2tiyj8HeDaA9t8iQK,WYXQudKcy8KMRqPQF,1,1,5,35.556999999999995,2.8280000000000003
284723,3pm,False,16,1,5,2tiyj8HeDaA9t8iQK,tC6Zy7o6EXbD8Q3ya,1,1,5,36.6,3.8710000000000004
284724,3pm,False,16,1,6,2tiyj8HeDaA9t8iQK,tC6Zy7o6EXbD8Q3ya,1,1,5,42.268,2.735
284725,3pm,False,16,1,6,2tiyj8HeDaA9t8iQK,WYXQudKcy8KMRqPQF,1,1,5,42.797,3.264
284726,3pm,False,16,1,7,2tiyj8HeDaA9t8iQK,WYXQudKcy8KMRqPQF,1,1,5,50.913999999999994,3.938
284727,3pm,False,16,1,7,2tiyj8HeDaA9t8iQK,tC6Zy7o6EXbD8Q3ya,1,1,5,50.328,3.352
284728,3pm,False,16,1,8,2tiyj8HeDaA9t8iQK,WYXQudKcy8KMRqPQF,1,1,5,58.34,4.249
284729,3pm,False,16,1,8,2tiyj8HeDaA9t8iQK,tC6Zy7o6EXbD8Q3ya,1,1,5,58.568000000000005,4.477
284730,3pm,False,16,1,9,2tiyj8HeDaA9t8iQK,tC6Zy7o6EXbD8Q3ya,1,0,1,67.783,5.9110000000000005
284731,3pm,False,16,1,9,2tiyj8HeDaA9t8iQK,WYXQudKcy8KMRqPQF,0,1,7,64.684,2.812
284732,3pm,False,16,1,10,2tiyj8HeDaA9t8iQK,tC6Zy7o6EXbD8Q3ya,0,0,3,71.941,3.839
284733,3pm,False,16,1,10,2tiyj8HeDaA9t8iQK,WYXQudKcy8KMRqPQF,0,0,3,72.38,4.2780000000000005
