,session,dropout,day,game,round,gameId,player,action,opp_action,payoff,total_time,time
155298,3pm,False,9,1,1,2gYeYicZQTvYeRShY,tzL2T9dTkXA87Wgjj,1,1,5,3.48,3.5210000000000004
155299,3pm,False,9,1,1,2gYeYicZQTvYeRShY,WYXQudKcy8KMRqPQF,1,1,5,12.228,12.269
155300,3pm,False,9,1,2,2gYeYicZQTvYeRShY,WYXQudKcy8KMRqPQF,1,1,5,13.342,0.7170000000000001
155301,3pm,False,9,1,2,2gYeYicZQTvYeRShY,tzL2T9dTkXA87Wgjj,1,1,5,16.778,4.1530000000000005
155302,3pm,False,9,1,3,2gYeYicZQTvYeRShY,WYXQudKcy8KMRqPQF,1,1,5,19.357,1.386
155303,3pm,False,9,1,3,2gYeYicZQTvYeRShY,tzL2T9dTkXA87Wgjj,1,1,5,19.169,1.198
155304,3pm,False,9,1,4,2gYeYicZQTvYeRShY,tzL2T9dTkXA87Wgjj,1,1,5,21.682,0.7829999999999999
155305,3pm,False,9,1,4,2gYeYicZQTvYeRShY,WYXQudKcy8KMRqPQF,1,1,5,21.603,0.7040000000000001
155306,3pm,False,9,1,5,2gYeYicZQTvYeRShY,tzL2T9dTkXA87Wgjj,1,1,5,25.244,1.051
155307,3pm,False,9,1,5,2gYeYicZQTvYeRShY,WYXQudKcy8KMRqPQF,1,1,5,24.737,0.544
155308,3pm,False,9,1,6,2gYeYicZQTvYeRShY,tzL2T9dTkXA87Wgjj,1,1,5,28.081999999999997,1.081
155309,3pm,False,9,1,6,2gYeYicZQTvYeRShY,WYXQudKcy8KMRqPQF,1,1,5,27.884,0.883
155310,3pm,False,9,1,7,2gYeYicZQTvYeRShY,tzL2T9dTkXA87Wgjj,1,1,5,31.015,1.219
155311,3pm,False,9,1,7,2gYeYicZQTvYeRShY,WYXQudKcy8KMRqPQF,1,1,5,30.398000000000003,0.602
155312,3pm,False,9,1,8,2gYeYicZQTvYeRShY,WYXQudKcy8KMRqPQF,1,1,5,33.387,0.705
155313,3pm,False,9,1,8,2gYeYicZQTvYeRShY,tzL2T9dTkXA87Wgjj,1,1,5,33.343,0.6609999999999999
155314,3pm,False,9,1,9,2gYeYicZQTvYeRShY,tzL2T9dTkXA87Wgjj,1,1,5,36.628,1.264
155315,3pm,False,9,1,9,2gYeYicZQTvYeRShY,WYXQudKcy8KMRqPQF,1,1,5,36.309,0.945
155316,3pm,False,9,1,10,2gYeYicZQTvYeRShY,WYXQudKcy8KMRqPQF,0,0,3,38.472,1.217
155317,3pm,False,9,1,10,2gYeYicZQTvYeRShY,tzL2T9dTkXA87Wgjj,0,0,3,38.133,0.878
155318,3pm,False,9,1,1,5tjNEi5Wt8n4MRC55,XTHWWFs9M9DnbR62K,1,1,5,4.888,4.906000000000001
155319,3pm,False,9,1,1,5tjNEi5Wt8n4MRC55,ZDsXeXNyYGrPrWv85,1,1,5,4.931,4.949
155320,3pm,False,9,1,2,5tjNEi5Wt8n4MRC55,ZDsXeXNyYGrPrWv85,1,1,5,6.669,1.597
155321,3pm,False,9,1,2,5tjNEi5Wt8n4MRC55,XTHWWFs9M9DnbR62K,1,1,5,7.0120000000000005,1.94
155322,3pm,False,9,1,3,5tjNEi5Wt8n4MRC55,XTHWWFs9M9DnbR62K,1,1,5,8.786,1.561
155323,3pm,False,9,1,3,5tjNEi5Wt8n4MRC55,ZDsXeXNyYGrPrWv85,1,1,5,8.583,1.358
155324,3pm,False,9,1,4,5tjNEi5Wt8n4MRC55,ZDsXeXNyYGrPrWv85,1,1,5,10.257,1.2009999999999998
155325,3pm,False,9,1,4,5tjNEi5Wt8n4MRC55,XTHWWFs9M9DnbR62K,1,1,5,14.827,5.771
155326,3pm,False,9,1,5,5tjNEi5Wt8n4MRC55,ZDsXeXNyYGrPrWv85,1,1,5,18.059,2.381
155327,3pm,False,9,1,5,5tjNEi5Wt8n4MRC55,XTHWWFs9M9DnbR62K,1,1,5,17.166,1.4880000000000002
155328,3pm,False,9,1,6,5tjNEi5Wt8n4MRC55,XTHWWFs9M9DnbR62K,1,1,5,21.046999999999997,1.307
155329,3pm,False,9,1,6,5tjNEi5Wt8n4MRC55,ZDsXeXNyYGrPrWv85,1,1,5,20.773000000000003,1.033
155330,3pm,False,9,1,7,5tjNEi5Wt8n4MRC55,XTHWWFs9M9DnbR62K,1,1,5,25.131999999999998,2.3169999999999997
155331,3pm,False,9,1,7,5tjNEi5Wt8n4MRC55,ZDsXeXNyYGrPrWv85,1,1,5,24.401999999999997,1.587
155332,3pm,False,9,1,8,5tjNEi5Wt8n4MRC55,ZDsXeXNyYGrPrWv85,1,1,5,29.396,1.901
