,session,dropout,day,game,round,gameId,player,action,opp_action,payoff,total_time,time
116528,1pm,False,7,1,1,5essTE7LW4NEJYEML,EqbbmngPfZBEmPTzq,1,1,5,10.273,10.307
116529,1pm,False,7,1,1,5essTE7LW4NEJYEML,97traC2z3p5PZ27XX,1,1,5,3.77,3.804
116530,1pm,False,7,1,2,5essTE7LW4NEJYEML,97traC2z3p5PZ27XX,1,1,5,12.04,1.133
116531,1pm,False,7,1,2,5essTE7LW4NEJYEML,EqbbmngPfZBEmPTzq,1,1,5,12.044,1.137
116532,1pm,False,7,1,3,5essTE7LW4NEJYEML,97traC2z3p5PZ27XX,1,1,5,14.401,1.117
116533,1pm,False,7,1,3,5essTE7LW4NEJYEML,EqbbmngPfZBEmPTzq,1,1,5,15.652000000000001,2.3680000000000003
116534,1pm,False,7,1,4,5essTE7LW4NEJYEML,EqbbmngPfZBEmPTzq,1,1,5,19.053,0.992
116535,1pm,False,7,1,4,5essTE7LW4NEJYEML,97traC2z3p5PZ27XX,1,1,5,18.774,0.713
116536,1pm,False,7,1,5,5essTE7LW4NEJYEML,EqbbmngPfZBEmPTzq,1,1,5,22.316999999999997,1.147
116537,1pm,False,7,1,5,5essTE7LW4NEJYEML,97traC2z3p5PZ27XX,1,1,5,22.041999999999998,0.872
116538,1pm,False,7,1,6,5essTE7LW4NEJYEML,97traC2z3p5PZ27XX,1,1,5,25.070999999999998,1.141
116539,1pm,False,7,1,6,5essTE7LW4NEJYEML,EqbbmngPfZBEmPTzq,1,1,5,25.781,1.851
116540,1pm,False,7,1,7,5essTE7LW4NEJYEML,EqbbmngPfZBEmPTzq,1,1,5,30.197,1.138
116541,1pm,False,7,1,7,5essTE7LW4NEJYEML,97traC2z3p5PZ27XX,1,1,5,30.065,1.006
116542,1pm,False,7,1,8,5essTE7LW4NEJYEML,EqbbmngPfZBEmPTzq,1,1,5,35.05,1.5930000000000002
116543,1pm,False,7,1,8,5essTE7LW4NEJYEML,97traC2z3p5PZ27XX,1,1,5,35.219,1.7619999999999998
116544,1pm,False,7,1,9,5essTE7LW4NEJYEML,97traC2z3p5PZ27XX,0,1,7,40.049,1.7830000000000001
116545,1pm,False,7,1,9,5essTE7LW4NEJYEML,EqbbmngPfZBEmPTzq,1,0,1,39.663000000000004,1.3969999999999998
116546,1pm,False,7,1,10,5essTE7LW4NEJYEML,97traC2z3p5PZ27XX,1,0,1,43.857,1.016
116547,1pm,False,7,1,10,5essTE7LW4NEJYEML,EqbbmngPfZBEmPTzq,0,1,7,45.056999999999995,2.2159999999999997
116548,1pm,False,7,1,1,k4HwuhiaHqobegtGv,oEdzXdEbM6o7wyYF5,1,1,5,7.499,7.513999999999999
116549,1pm,False,7,1,1,k4HwuhiaHqobegtGv,83aLGCKsgKvC3pkJN,1,1,5,23.002,23.017
116550,1pm,False,7,1,2,k4HwuhiaHqobegtGv,oEdzXdEbM6o7wyYF5,1,1,5,26.851,0.956
116551,1pm,False,7,1,2,k4HwuhiaHqobegtGv,83aLGCKsgKvC3pkJN,1,1,5,26.854,0.9590000000000001
116552,1pm,False,7,1,3,k4HwuhiaHqobegtGv,oEdzXdEbM6o7wyYF5,1,1,5,30.002,0.141
116553,1pm,False,7,1,3,k4HwuhiaHqobegtGv,83aLGCKsgKvC3pkJN,1,1,5,29.866999999999997,0.006
116554,1pm,False,7,1,4,k4HwuhiaHqobegtGv,oEdzXdEbM6o7wyYF5,1,1,5,34.856,1.714
116555,1pm,False,7,1,4,k4HwuhiaHqobegtGv,83aLGCKsgKvC3pkJN,1,1,5,33.614000000000004,0.47200000000000003
116556,1pm,False,7,1,5,k4HwuhiaHqobegtGv,83aLGCKsgKvC3pkJN,1,1,5,38.433,0.479
116557,1pm,False,7,1,5,k4HwuhiaHqobegtGv,oEdzXdEbM6o7wyYF5,1,1,5,38.839,0.885
116558,1pm,False,7,1,6,k4HwuhiaHqobegtGv,oEdzXdEbM6o7wyYF5,1,1,5,43.299,1.127
116559,1pm,False,7,1,6,k4HwuhiaHqobegtGv,83aLGCKsgKvC3pkJN,1,1,5,42.661,0.489
116560,1pm,False,7,1,7,k4HwuhiaHqobegtGv,oEdzXdEbM6o7wyYF5,1,1,5,47.051,1.207
116561,1pm,False,7,1,7,k4HwuhiaHqobegtGv,83aLGCKsgKvC3pkJN,1,1,5,46.858000000000004,1.014
116562,1pm,False,7,1,8,k4HwuhiaHqobegtGv,83aLGCKsgKvC3pkJN,1,1,5,49.861999999999995,1.058
116563,1pm,False,7,1,8,k4HwuhiaHqobegtGv,oEdzXdEbM6o7wyYF5,1,1,5,50.278999999999996,1.475
116564,1pm,False,7,1,9,k4HwuhiaHqobegtGv,oEdzXdEbM6o7wyYF5,0,1,7,53.14,1.062
116565,1pm,False,7,1,9,k4HwuhiaHqobegtGv,83aLGCKsgKvC3pkJN,1,0,1,52.924,0.846
116566,1pm,False,7,1,10,k4HwuhiaHqobegtGv,oEdzXdEbM6o7wyYF5,0,1,7,54.861999999999995,1.5330000000000001
116567,1pm,False,7,1,10,k4HwuhiaHqobegtGv,83aLGCKsgKvC3pkJN,1,0,1,54.861999999999995,1.5330000000000001
116568,1pm,False,7,1,1,S9KTJM6Z4WcdgdBRi,7CHpY4setLKb9ssnN,1,1,5,5.649,5.664
116569,1pm,False,7,1,1,S9KTJM6Z4WcdgdBRi,guqhFmibsWFJpL8Fq,1,1,5,4.343,4.3580000000000005
116570,1pm,False,7,1,2,S9KTJM6Z4WcdgdBRi,7CHpY4setLKb9ssnN,1,1,5,8.607999999999999,2.734
116571,1pm,False,7,1,2,S9KTJM6Z4WcdgdBRi,guqhFmibsWFJpL8Fq,1,1,5,8.513,2.639
116572,1pm,False,7,1,3,S9KTJM6Z4WcdgdBRi,guqhFmibsWFJpL8Fq,1,1,5,33.795,25.000999999999998
116573,1pm,False,7,1,3,S9KTJM6Z4WcdgdBRi,7CHpY4setLKb9ssnN,1,1,5,12.163,3.3689999999999998
116574,1pm,False,7,1,4,S9KTJM6Z4WcdgdBRi,7CHpY4setLKb9ssnN,1,1,5,38.546,2.479
116575,1pm,False,7,1,4,S9KTJM6Z4WcdgdBRi,guqhFmibsWFJpL8Fq,1,1,5,36.852,0.785
116576,1pm,False,7,1,5,S9KTJM6Z4WcdgdBRi,guqhFmibsWFJpL8Fq,1,1,5,43.191,1.3230000000000002
116577,1pm,False,7,1,5,S9KTJM6Z4WcdgdBRi,7CHpY4setLKb9ssnN,1,1,5,43.042,1.1740000000000002
116578,1pm,False,7,1,6,S9KTJM6Z4WcdgdBRi,guqhFmibsWFJpL8Fq,1,1,5,47.058,1.251
116579,1pm,False,7,1,6,S9KTJM6Z4WcdgdBRi,7CHpY4setLKb9ssnN,1,1,5,46.675,0.868
116580,1pm,False,7,1,7,S9KTJM6Z4WcdgdBRi,guqhFmibsWFJpL8Fq,1,1,5,50.036,1.3030000000000002
116581,1pm,False,7,1,7,S9KTJM6Z4WcdgdBRi,7CHpY4setLKb9ssnN,1,1,5,49.677,0.9440000000000001
116582,1pm,False,7,1,8,S9KTJM6Z4WcdgdBRi,7CHpY4setLKb9ssnN,1,1,5,53.783,2.0
116583,1pm,False,7,1,8,S9KTJM6Z4WcdgdBRi,guqhFmibsWFJpL8Fq,1,1,5,53.067,1.284
116584,1pm,False,7,1,9,S9KTJM6Z4WcdgdBRi,guqhFmibsWFJpL8Fq,1,0,1,56.21,1.535
116585,1pm,False,7,1,9,S9KTJM6Z4WcdgdBRi,7CHpY4setLKb9ssnN,0,1,7,56.675,2.0
116586,1pm,False,7,1,10,S9KTJM6Z4WcdgdBRi,7CHpY4setLKb9ssnN,0,0,3,58.803999999999995,1.298
116587,1pm,False,7,1,10,S9KTJM6Z4WcdgdBRi,guqhFmibsWFJpL8Fq,0,0,3,60.676,3.17
116588,1pm,True,7,1,1,R9j9fobMGzYGEgLKw,qfK7J87D5Kk7swwc7,1,1,5,11.502,11.525
116589,1pm,False,7,1,1,R9j9fobMGzYGEgLKw,kHR5CKiiL9FYWGwqn,1,1,5,4.518,4.541
