,session,dropout,day,game,round,gameId,player,action,opp_action,payoff,total_time,time
266234,1pm,False,15,1,1,yD2j85s5L6ZNYdrM6,PvQ8B5kuA9Fbq9N59,1,1,5,4.3260000000000005,4.348
266235,1pm,False,15,1,1,yD2j85s5L6ZNYdrM6,TBNi2gFYKbKXg8dNv,1,1,5,2.699,2.721
266236,1pm,False,15,1,2,yD2j85s5L6ZNYdrM6,PvQ8B5kuA9Fbq9N59,1,1,5,7.8660000000000005,2.898
266237,1pm,False,15,1,2,yD2j85s5L6ZNYdrM6,TBNi2gFYKbKXg8dNv,1,1,5,7.801,2.833
266238,1pm,False,15,1,3,yD2j85s5L6ZNYdrM6,PvQ8B5kuA9Fbq9N59,1,1,5,9.465,1.091
266239,1pm,False,15,1,3,yD2j85s5L6ZNYdrM6,TBNi2gFYKbKXg8dNv,1,1,5,12.91,4.5360000000000005
266240,1pm,False,15,1,4,yD2j85s5L6ZNYdrM6,PvQ8B5kuA9Fbq9N59,1,1,5,16.721,3.457
266241,1pm,False,15,1,4,yD2j85s5L6ZNYdrM6,TBNi2gFYKbKXg8dNv,1,1,5,14.821,1.557
266242,1pm,False,15,1,5,yD2j85s5L6ZNYdrM6,TBNi2gFYKbKXg8dNv,1,1,5,19.903,1.382
266243,1pm,False,15,1,5,yD2j85s5L6ZNYdrM6,PvQ8B5kuA9Fbq9N59,1,1,5,19.662,1.141
266244,1pm,False,15,1,6,yD2j85s5L6ZNYdrM6,PvQ8B5kuA9Fbq9N59,1,1,5,23.27,0.955
266245,1pm,False,15,1,6,yD2j85s5L6ZNYdrM6,TBNi2gFYKbKXg8dNv,1,1,5,23.516,1.2009999999999998
266246,1pm,False,15,1,7,yD2j85s5L6ZNYdrM6,TBNi2gFYKbKXg8dNv,1,1,5,26.721,1.4569999999999999
266247,1pm,False,15,1,7,yD2j85s5L6ZNYdrM6,PvQ8B5kuA9Fbq9N59,1,1,5,27.108,1.844
266248,1pm,False,15,1,8,yD2j85s5L6ZNYdrM6,TBNi2gFYKbKXg8dNv,1,1,5,30.654,1.9580000000000002
266249,1pm,False,15,1,8,yD2j85s5L6ZNYdrM6,PvQ8B5kuA9Fbq9N59,1,1,5,29.445,0.7490000000000001
266250,1pm,False,15,1,9,yD2j85s5L6ZNYdrM6,PvQ8B5kuA9Fbq9N59,1,1,5,34.321,1.261
266251,1pm,False,15,1,9,yD2j85s5L6ZNYdrM6,TBNi2gFYKbKXg8dNv,1,1,5,34.323,1.263
266252,1pm,False,15,1,10,yD2j85s5L6ZNYdrM6,TBNi2gFYKbKXg8dNv,1,1,5,37.747,0.966
266253,1pm,False,15,1,10,yD2j85s5L6ZNYdrM6,PvQ8B5kuA9Fbq9N59,1,1,5,37.760999999999996,0.98
266254,1pm,False,15,1,1,KYNxJGP7kLvpcTyz8,PJmJgrqusFZ8KRShQ,1,1,5,3.174,3.1919999999999997
266255,1pm,False,15,1,1,KYNxJGP7kLvpcTyz8,xnAjMcWaFRpfBbukz,1,1,5,11.142000000000001,11.16
266256,1pm,False,15,1,2,KYNxJGP7kLvpcTyz8,PJmJgrqusFZ8KRShQ,1,1,5,14.152000000000001,1.848
266257,1pm,False,15,1,2,KYNxJGP7kLvpcTyz8,xnAjMcWaFRpfBbukz,1,1,5,13.379000000000001,1.075
266258,1pm,False,15,1,3,KYNxJGP7kLvpcTyz8,PJmJgrqusFZ8KRShQ,1,1,5,16.15,1.272
266259,1pm,False,15,1,3,KYNxJGP7kLvpcTyz8,xnAjMcWaFRpfBbukz,1,1,5,16.155,1.2770000000000001
266260,1pm,False,15,1,4,KYNxJGP7kLvpcTyz8,PJmJgrqusFZ8KRShQ,1,1,5,22.229,4.603
266261,1pm,False,15,1,4,KYNxJGP7kLvpcTyz8,xnAjMcWaFRpfBbukz,1,1,5,19.539,1.913
266262,1pm,False,15,1,5,KYNxJGP7kLvpcTyz8,PJmJgrqusFZ8KRShQ,1,1,5,25.355,1.926
266263,1pm,False,15,1,5,KYNxJGP7kLvpcTyz8,xnAjMcWaFRpfBbukz,1,1,5,25.303,1.874
266264,1pm,False,15,1,6,KYNxJGP7kLvpcTyz8,PJmJgrqusFZ8KRShQ,1,1,5,29.147,1.8219999999999998
266265,1pm,False,15,1,6,KYNxJGP7kLvpcTyz8,xnAjMcWaFRpfBbukz,1,1,5,28.336,1.011
266266,1pm,False,15,1,7,KYNxJGP7kLvpcTyz8,xnAjMcWaFRpfBbukz,1,1,5,34.316,2.346
266267,1pm,False,15,1,7,KYNxJGP7kLvpcTyz8,PJmJgrqusFZ8KRShQ,1,1,5,33.428000000000004,1.4580000000000002
266268,1pm,False,15,1,8,KYNxJGP7kLvpcTyz8,xnAjMcWaFRpfBbukz,1,1,5,37.692,0.838
266269,1pm,False,15,1,8,KYNxJGP7kLvpcTyz8,PJmJgrqusFZ8KRShQ,1,1,5,38.233000000000004,1.379
266270,1pm,False,15,1,9,KYNxJGP7kLvpcTyz8,xnAjMcWaFRpfBbukz,1,0,1,42.245,2.226
266271,1pm,False,15,1,9,KYNxJGP7kLvpcTyz8,PJmJgrqusFZ8KRShQ,0,1,7,41.405,1.386
266272,1pm,False,15,1,10,KYNxJGP7kLvpcTyz8,PJmJgrqusFZ8KRShQ,0,0,3,44.153,1.474
266273,1pm,False,15,1,10,KYNxJGP7kLvpcTyz8,xnAjMcWaFRpfBbukz,0,0,3,47.723,5.044
266274,1pm,False,15,1,1,8ZJoPovtFbt6enHm4,2xgTQpgmHLiTHmpsq,1,1,5,2.8169999999999997,2.8369999999999997
266275,1pm,False,15,1,1,8ZJoPovtFbt6enHm4,7SuwNkTzDH5sA5JDC,1,1,5,56.028999999999996,56.049
266276,1pm,False,15,1,2,8ZJoPovtFbt6enHm4,2xgTQpgmHLiTHmpsq,1,1,5,56.305,0.11900000000000001
266277,1pm,False,15,1,2,8ZJoPovtFbt6enHm4,7SuwNkTzDH5sA5JDC,1,1,5,57.56,1.374
266278,1pm,False,15,1,3,8ZJoPovtFbt6enHm4,2xgTQpgmHLiTHmpsq,1,1,5,57.786,0.10300000000000001
266279,1pm,False,15,1,3,8ZJoPovtFbt6enHm4,7SuwNkTzDH5sA5JDC,1,1,5,59.037,1.354
266280,1pm,False,15,1,4,8ZJoPovtFbt6enHm4,2xgTQpgmHLiTHmpsq,1,1,5,59.771,0.11800000000000001
266281,1pm,False,15,1,4,8ZJoPovtFbt6enHm4,7SuwNkTzDH5sA5JDC,1,1,5,60.981,1.328
266282,1pm,False,15,1,5,8ZJoPovtFbt6enHm4,7SuwNkTzDH5sA5JDC,1,1,5,63.157,1.883
266283,1pm,False,15,1,5,8ZJoPovtFbt6enHm4,2xgTQpgmHLiTHmpsq,1,1,5,61.872,0.598
266284,1pm,False,15,1,6,8ZJoPovtFbt6enHm4,7SuwNkTzDH5sA5JDC,1,1,5,64.32600000000001,0.977
266285,1pm,False,15,1,6,8ZJoPovtFbt6enHm4,2xgTQpgmHLiTHmpsq,1,1,5,64.04899999999999,0.7
266286,1pm,False,15,1,7,8ZJoPovtFbt6enHm4,7SuwNkTzDH5sA5JDC,1,1,5,65.4,0.96
266287,1pm,False,15,1,7,8ZJoPovtFbt6enHm4,2xgTQpgmHLiTHmpsq,1,1,5,65.236,0.7959999999999999
266288,1pm,False,15,1,8,8ZJoPovtFbt6enHm4,2xgTQpgmHLiTHmpsq,1,1,5,66.604,0.519
266289,1pm,False,15,1,8,8ZJoPovtFbt6enHm4,7SuwNkTzDH5sA5JDC,1,1,5,66.837,0.752
266290,1pm,False,15,1,9,8ZJoPovtFbt6enHm4,2xgTQpgmHLiTHmpsq,1,1,5,67.556,0.602
266291,1pm,False,15,1,9,8ZJoPovtFbt6enHm4,7SuwNkTzDH5sA5JDC,1,1,5,68.441,1.4869999999999999
266292,1pm,False,15,1,10,8ZJoPovtFbt6enHm4,2xgTQpgmHLiTHmpsq,1,1,5,69.661,0.6859999999999999
266293,1pm,False,15,1,10,8ZJoPovtFbt6enHm4,7SuwNkTzDH5sA5JDC,1,1,5,69.814,0.8390000000000001
266294,1pm,False,15,1,1,HAazDbXE6WYRGBcCR,RzxX5wdD5d7CAaYjT,1,1,5,3.821,3.844
266295,1pm,False,15,1,1,HAazDbXE6WYRGBcCR,EKkrMpMqy2PRLm7ur,1,1,5,3.822,3.845
266296,1pm,False,15,1,2,HAazDbXE6WYRGBcCR,RzxX5wdD5d7CAaYjT,1,1,5,5.803,1.6159999999999999
266297,1pm,False,15,1,2,HAazDbXE6WYRGBcCR,EKkrMpMqy2PRLm7ur,1,1,5,7.291,3.1039999999999996
266298,1pm,False,15,1,3,HAazDbXE6WYRGBcCR,EKkrMpMqy2PRLm7ur,1,1,5,8.976,1.2930000000000001
266299,1pm,False,15,1,3,HAazDbXE6WYRGBcCR,RzxX5wdD5d7CAaYjT,1,1,5,9.21,1.527
266300,1pm,False,15,1,4,HAazDbXE6WYRGBcCR,EKkrMpMqy2PRLm7ur,1,1,5,10.802999999999999,1.369
266301,1pm,False,15,1,4,HAazDbXE6WYRGBcCR,RzxX5wdD5d7CAaYjT,1,1,5,10.802,1.368
266302,1pm,False,15,1,5,HAazDbXE6WYRGBcCR,EKkrMpMqy2PRLm7ur,1,1,5,12.533,0.934
266303,1pm,False,15,1,5,HAazDbXE6WYRGBcCR,RzxX5wdD5d7CAaYjT,1,1,5,12.395999999999999,0.797
266304,1pm,False,15,1,6,HAazDbXE6WYRGBcCR,EKkrMpMqy2PRLm7ur,1,1,5,15.805,2.8160000000000003
266305,1pm,False,15,1,6,HAazDbXE6WYRGBcCR,RzxX5wdD5d7CAaYjT,1,1,5,13.809000000000001,0.82
266306,1pm,False,15,1,7,HAazDbXE6WYRGBcCR,EKkrMpMqy2PRLm7ur,1,1,5,19.033,2.088
266307,1pm,False,15,1,7,HAazDbXE6WYRGBcCR,RzxX5wdD5d7CAaYjT,1,1,5,18.052,1.107
266308,1pm,False,15,1,8,HAazDbXE6WYRGBcCR,RzxX5wdD5d7CAaYjT,1,1,5,20.8,0.866
266309,1pm,False,15,1,8,HAazDbXE6WYRGBcCR,EKkrMpMqy2PRLm7ur,1,1,5,20.802,0.868
266310,1pm,False,15,1,9,HAazDbXE6WYRGBcCR,RzxX5wdD5d7CAaYjT,1,1,5,23.160999999999998,0.9620000000000001
266311,1pm,False,15,1,9,HAazDbXE6WYRGBcCR,EKkrMpMqy2PRLm7ur,1,1,5,23.061999999999998,0.863
266312,1pm,False,15,1,10,HAazDbXE6WYRGBcCR,EKkrMpMqy2PRLm7ur,1,1,5,27.48,1.406
266313,1pm,False,15,1,10,HAazDbXE6WYRGBcCR,RzxX5wdD5d7CAaYjT,1,1,5,27.121,1.047
266314,1pm,False,15,1,1,SfzyS4BWHEYsnXpyr,9oMznuhqogksvbTty,1,1,5,4.632,4.654
266315,1pm,False,15,1,1,SfzyS4BWHEYsnXpyr,ZY7qP2B8GAfT5AWGZ,1,1,5,4.738,4.76
266316,1pm,False,15,1,2,SfzyS4BWHEYsnXpyr,9oMznuhqogksvbTty,1,1,5,6.069,0.9520000000000001
266317,1pm,False,15,1,2,SfzyS4BWHEYsnXpyr,ZY7qP2B8GAfT5AWGZ,1,1,5,6.209,1.092
266318,1pm,False,15,1,3,SfzyS4BWHEYsnXpyr,ZY7qP2B8GAfT5AWGZ,1,1,5,7.855,1.421
266319,1pm,False,15,1,3,SfzyS4BWHEYsnXpyr,9oMznuhqogksvbTty,1,1,5,7.148,0.7140000000000001
266320,1pm,False,15,1,4,SfzyS4BWHEYsnXpyr,ZY7qP2B8GAfT5AWGZ,1,1,5,8.897,0.7659999999999999
266321,1pm,False,15,1,4,SfzyS4BWHEYsnXpyr,9oMznuhqogksvbTty,1,1,5,8.664,0.5329999999999999
266322,1pm,False,15,1,5,SfzyS4BWHEYsnXpyr,9oMznuhqogksvbTty,1,1,5,10.818,0.9640000000000001
266323,1pm,False,15,1,5,SfzyS4BWHEYsnXpyr,ZY7qP2B8GAfT5AWGZ,1,1,5,11.147,1.2930000000000001
266324,1pm,False,15,1,6,SfzyS4BWHEYsnXpyr,9oMznuhqogksvbTty,1,1,5,11.899000000000001,0.5329999999999999
266325,1pm,False,15,1,6,SfzyS4BWHEYsnXpyr,ZY7qP2B8GAfT5AWGZ,1,1,5,12.859000000000002,1.493
266326,1pm,False,15,1,7,SfzyS4BWHEYsnXpyr,ZY7qP2B8GAfT5AWGZ,1,1,5,14.872,1.048
266327,1pm,False,15,1,7,SfzyS4BWHEYsnXpyr,9oMznuhqogksvbTty,1,1,5,14.873,1.0490000000000002
266328,1pm,False,15,1,8,SfzyS4BWHEYsnXpyr,ZY7qP2B8GAfT5AWGZ,1,0,1,17.863,1.119
266329,1pm,False,15,1,8,SfzyS4BWHEYsnXpyr,9oMznuhqogksvbTty,0,1,7,18.317,1.5730000000000002
266330,1pm,False,15,1,9,SfzyS4BWHEYsnXpyr,ZY7qP2B8GAfT5AWGZ,0,0,3,21.921,1.473
266331,1pm,False,15,1,9,SfzyS4BWHEYsnXpyr,9oMznuhqogksvbTty,0,0,3,21.028000000000002,0.58
266332,1pm,False,15,1,10,SfzyS4BWHEYsnXpyr,ZY7qP2B8GAfT5AWGZ,0,0,3,24.866999999999997,1.158
266333,1pm,False,15,1,10,SfzyS4BWHEYsnXpyr,9oMznuhqogksvbTty,0,0,3,24.866,1.157
266334,1pm,False,15,1,1,TKQwLa7wBFHwWHa2T,BXpopjp8tbALotvvj,1,1,5,4.672,4.688
266335,1pm,False,15,1,1,TKQwLa7wBFHwWHa2T,m8qY5xCxdBqLSSRWW,1,1,5,4.963,4.979
266336,1pm,False,15,1,2,TKQwLa7wBFHwWHa2T,m8qY5xCxdBqLSSRWW,1,1,5,6.5520000000000005,1.422
266337,1pm,False,15,1,2,TKQwLa7wBFHwWHa2T,BXpopjp8tbALotvvj,1,1,5,6.082000000000001,0.9520000000000001
266338,1pm,False,15,1,3,TKQwLa7wBFHwWHa2T,m8qY5xCxdBqLSSRWW,1,1,5,8.123,1.11
266339,1pm,False,15,1,3,TKQwLa7wBFHwWHa2T,BXpopjp8tbALotvvj,1,1,5,7.567,0.5539999999999999
266340,1pm,False,15,1,4,TKQwLa7wBFHwWHa2T,m8qY5xCxdBqLSSRWW,1,1,5,9.667,1.253
266341,1pm,False,15,1,4,TKQwLa7wBFHwWHa2T,BXpopjp8tbALotvvj,1,1,5,9.668,1.254
266342,1pm,False,15,1,5,TKQwLa7wBFHwWHa2T,BXpopjp8tbALotvvj,1,1,5,11.103,0.521
266343,1pm,False,15,1,5,TKQwLa7wBFHwWHa2T,m8qY5xCxdBqLSSRWW,1,1,5,11.474,0.892
266344,1pm,False,15,1,6,TKQwLa7wBFHwWHa2T,BXpopjp8tbALotvvj,1,1,5,12.674000000000001,0.679
266345,1pm,False,15,1,6,TKQwLa7wBFHwWHa2T,m8qY5xCxdBqLSSRWW,1,1,5,13.15,1.155
266346,1pm,False,15,1,7,TKQwLa7wBFHwWHa2T,BXpopjp8tbALotvvj,1,1,5,16.152,0.579
266347,1pm,False,15,1,7,TKQwLa7wBFHwWHa2T,m8qY5xCxdBqLSSRWW,1,1,5,16.873,1.3
266348,1pm,False,15,1,8,TKQwLa7wBFHwWHa2T,m8qY5xCxdBqLSSRWW,1,1,5,19.672,1.2329999999999999
266349,1pm,False,15,1,8,TKQwLa7wBFHwWHa2T,BXpopjp8tbALotvvj,1,1,5,19.667,1.228
266350,1pm,False,15,1,9,TKQwLa7wBFHwWHa2T,BXpopjp8tbALotvvj,1,1,5,21.962,0.604
266351,1pm,False,15,1,9,TKQwLa7wBFHwWHa2T,m8qY5xCxdBqLSSRWW,1,1,5,22.668000000000003,1.31
266352,1pm,False,15,1,10,TKQwLa7wBFHwWHa2T,BXpopjp8tbALotvvj,1,1,5,26.037,0.6729999999999999
266353,1pm,False,15,1,10,TKQwLa7wBFHwWHa2T,m8qY5xCxdBqLSSRWW,1,1,5,26.666999999999998,1.3030000000000002
266354,1pm,False,15,1,1,zP9b5FM3efXnyPEi4,7CHpY4setLKb9ssnN,1,1,5,7.629,7.643
266355,1pm,False,15,1,1,zP9b5FM3efXnyPEi4,GwfkQ6SGEuBj2RMoW,1,1,5,4.584,4.598
266356,1pm,False,15,1,2,zP9b5FM3efXnyPEi4,GwfkQ6SGEuBj2RMoW,1,1,5,9.523,1.609
266357,1pm,False,15,1,2,zP9b5FM3efXnyPEi4,7CHpY4setLKb9ssnN,1,1,5,9.814,1.9
266358,1pm,False,15,1,3,zP9b5FM3efXnyPEi4,7CHpY4setLKb9ssnN,1,1,5,11.648,0.8540000000000001
266359,1pm,False,15,1,3,zP9b5FM3efXnyPEi4,GwfkQ6SGEuBj2RMoW,1,1,5,11.673,0.879
266360,1pm,False,15,1,4,zP9b5FM3efXnyPEi4,7CHpY4setLKb9ssnN,1,1,5,13.725999999999999,1.21
266361,1pm,False,15,1,4,zP9b5FM3efXnyPEi4,GwfkQ6SGEuBj2RMoW,1,1,5,14.532,2.016
266362,1pm,False,15,1,5,zP9b5FM3efXnyPEi4,GwfkQ6SGEuBj2RMoW,1,1,5,17.52,1.3880000000000001
266363,1pm,False,15,1,5,zP9b5FM3efXnyPEi4,7CHpY4setLKb9ssnN,1,1,5,17.524,1.392
266364,1pm,False,15,1,6,zP9b5FM3efXnyPEi4,GwfkQ6SGEuBj2RMoW,1,1,5,19.526,1.097
266365,1pm,False,15,1,6,zP9b5FM3efXnyPEi4,7CHpY4setLKb9ssnN,1,1,5,19.522000000000002,1.093
266366,1pm,False,15,1,7,zP9b5FM3efXnyPEi4,GwfkQ6SGEuBj2RMoW,1,1,5,24.528000000000002,3.466
266367,1pm,False,15,1,7,zP9b5FM3efXnyPEi4,7CHpY4setLKb9ssnN,1,1,5,21.88,0.818
266368,1pm,False,15,1,8,zP9b5FM3efXnyPEi4,7CHpY4setLKb9ssnN,1,1,5,27.566999999999997,1.16
266369,1pm,False,15,1,8,zP9b5FM3efXnyPEi4,GwfkQ6SGEuBj2RMoW,1,1,5,27.609,1.202
266370,1pm,False,15,1,9,zP9b5FM3efXnyPEi4,7CHpY4setLKb9ssnN,0,1,7,31.831,0.924
266371,1pm,False,15,1,9,zP9b5FM3efXnyPEi4,GwfkQ6SGEuBj2RMoW,1,0,1,31.888,0.981
266372,1pm,False,15,1,10,zP9b5FM3efXnyPEi4,GwfkQ6SGEuBj2RMoW,0,0,3,34.525999999999996,2.002
266373,1pm,False,15,1,10,zP9b5FM3efXnyPEi4,7CHpY4setLKb9ssnN,0,0,3,34.524,2.0
266374,1pm,False,15,1,1,gWFQgGpJkmaw7BHW6,ACmCYtCtP5CgznfwC,1,1,5,9.681000000000001,9.697000000000001
266375,1pm,False,15,1,1,gWFQgGpJkmaw7BHW6,kHR5CKiiL9FYWGwqn,1,1,5,5.072,5.088
266376,1pm,False,15,1,2,gWFQgGpJkmaw7BHW6,ACmCYtCtP5CgznfwC,1,1,5,12.367,1.621
