,session,dropout,day,game,round,gameId,player,action,opp_action,payoff,total_time,time
192848,3pm,False,11,1,1,9Mh8bhhnpyByhPq65,2JL4pHMmPJRnrcQNh,1,1,5,4.3839999999999995,4.4
192849,3pm,False,11,1,1,9Mh8bhhnpyByhPq65,fHYdRD9XuSDiDhZek,1,1,5,3.8569999999999998,3.873
192850,3pm,False,11,1,2,9Mh8bhhnpyByhPq65,2JL4pHMmPJRnrcQNh,1,1,5,7.313,1.155
192851,3pm,False,11,1,2,9Mh8bhhnpyByhPq65,fHYdRD9XuSDiDhZek,1,1,5,7.53,1.3719999999999999
192852,3pm,False,11,1,3,9Mh8bhhnpyByhPq65,2JL4pHMmPJRnrcQNh,1,1,5,8.844,1.08
192853,3pm,False,11,1,3,9Mh8bhhnpyByhPq65,fHYdRD9XuSDiDhZek,1,1,5,8.587,0.823
192854,3pm,False,11,1,4,9Mh8bhhnpyByhPq65,fHYdRD9XuSDiDhZek,1,1,5,10.338,1.298
192855,3pm,False,11,1,4,9Mh8bhhnpyByhPq65,2JL4pHMmPJRnrcQNh,1,1,5,10.0,0.96
192856,3pm,False,11,1,5,9Mh8bhhnpyByhPq65,fHYdRD9XuSDiDhZek,1,1,5,11.442,0.285
192857,3pm,False,11,1,5,9Mh8bhhnpyByhPq65,2JL4pHMmPJRnrcQNh,1,1,5,12.530999999999999,1.374
192858,3pm,False,11,1,6,9Mh8bhhnpyByhPq65,fHYdRD9XuSDiDhZek,1,1,5,14.104000000000001,0.539
192859,3pm,False,11,1,6,9Mh8bhhnpyByhPq65,2JL4pHMmPJRnrcQNh,1,1,5,14.744000000000002,1.179
192860,3pm,False,11,1,7,9Mh8bhhnpyByhPq65,fHYdRD9XuSDiDhZek,1,1,5,18.597,2.208
192861,3pm,False,11,1,7,9Mh8bhhnpyByhPq65,2JL4pHMmPJRnrcQNh,1,1,5,17.612000000000002,1.2229999999999999
