,session,dropout,day,game,round,gameId,player,action,opp_action,payoff,total_time,time
248624,1pm,False,14,1,1,CLGvKhW3zFD5vBfyF,xH8gnN6xZ9tWFkmrD,1,1,5,1.6480000000000001,1.6780000000000002
248625,1pm,False,14,1,1,CLGvKhW3zFD5vBfyF,PJmJgrqusFZ8KRShQ,1,1,5,3.97,4.0
248626,1pm,False,14,1,2,CLGvKhW3zFD5vBfyF,PJmJgrqusFZ8KRShQ,1,1,5,8.448,2.506
248627,1pm,False,14,1,2,CLGvKhW3zFD5vBfyF,xH8gnN6xZ9tWFkmrD,1,1,5,8.251,2.309
248628,1pm,False,14,1,3,CLGvKhW3zFD5vBfyF,xH8gnN6xZ9tWFkmrD,1,1,5,14.329,5.433
248629,1pm,False,14,1,3,CLGvKhW3zFD5vBfyF,PJmJgrqusFZ8KRShQ,1,1,5,10.925999999999998,2.03
248630,1pm,False,14,1,4,CLGvKhW3zFD5vBfyF,xH8gnN6xZ9tWFkmrD,1,1,5,17.997,2.068
248631,1pm,False,14,1,4,CLGvKhW3zFD5vBfyF,PJmJgrqusFZ8KRShQ,1,1,5,18.588,2.659
248632,1pm,False,14,1,5,CLGvKhW3zFD5vBfyF,PJmJgrqusFZ8KRShQ,1,1,5,23.12,2.1919999999999997
248633,1pm,False,14,1,5,CLGvKhW3zFD5vBfyF,xH8gnN6xZ9tWFkmrD,1,1,5,21.989,1.061
248634,1pm,False,14,1,6,CLGvKhW3zFD5vBfyF,xH8gnN6xZ9tWFkmrD,1,1,5,29.194000000000003,3.266
248635,1pm,False,14,1,6,CLGvKhW3zFD5vBfyF,PJmJgrqusFZ8KRShQ,1,1,5,27.939,2.011
248636,1pm,False,14,1,7,CLGvKhW3zFD5vBfyF,xH8gnN6xZ9tWFkmrD,1,1,5,43.028999999999996,11.328
248637,1pm,False,14,1,7,CLGvKhW3zFD5vBfyF,PJmJgrqusFZ8KRShQ,1,1,5,35.931999999999995,4.231
248638,1pm,False,14,1,8,CLGvKhW3zFD5vBfyF,PJmJgrqusFZ8KRShQ,1,1,5,46.08,0.84
248639,1pm,False,14,1,8,CLGvKhW3zFD5vBfyF,xH8gnN6xZ9tWFkmrD,1,1,5,48.957,3.717
248640,1pm,False,14,1,9,CLGvKhW3zFD5vBfyF,PJmJgrqusFZ8KRShQ,1,1,5,53.757,3.5260000000000002
248641,1pm,False,14,1,9,CLGvKhW3zFD5vBfyF,xH8gnN6xZ9tWFkmrD,1,1,5,51.12,0.889
248642,1pm,False,14,1,10,CLGvKhW3zFD5vBfyF,PJmJgrqusFZ8KRShQ,0,1,7,58.089,3.477
248643,1pm,False,14,1,10,CLGvKhW3zFD5vBfyF,xH8gnN6xZ9tWFkmrD,1,0,1,55.982,1.37
248644,1pm,False,14,1,1,eoox6r65PnH2kf7bL,XSxvHwwNwBfusdi6R,1,1,5,3.727,3.752
248645,1pm,False,14,1,1,eoox6r65PnH2kf7bL,58iSZSetxTXhF5hrB,1,1,5,3.312,3.3369999999999997
248646,1pm,False,14,1,2,eoox6r65PnH2kf7bL,XSxvHwwNwBfusdi6R,1,1,5,9.658,4.939
248647,1pm,False,14,1,2,eoox6r65PnH2kf7bL,58iSZSetxTXhF5hrB,1,1,5,5.841,1.122
248648,1pm,False,14,1,3,eoox6r65PnH2kf7bL,XSxvHwwNwBfusdi6R,1,1,5,10.767000000000001,0.919
248649,1pm,False,14,1,3,eoox6r65PnH2kf7bL,58iSZSetxTXhF5hrB,1,1,5,10.767000000000001,0.919
248650,1pm,False,14,1,4,eoox6r65PnH2kf7bL,58iSZSetxTXhF5hrB,1,1,5,12.908,1.19
248651,1pm,False,14,1,4,eoox6r65PnH2kf7bL,XSxvHwwNwBfusdi6R,1,1,5,12.905,1.187
248652,1pm,False,14,1,5,eoox6r65PnH2kf7bL,58iSZSetxTXhF5hrB,1,1,5,15.21,0.7509999999999999
248653,1pm,False,14,1,5,eoox6r65PnH2kf7bL,XSxvHwwNwBfusdi6R,1,1,5,15.769,1.31
248654,1pm,False,14,1,6,eoox6r65PnH2kf7bL,XSxvHwwNwBfusdi6R,1,1,5,19.539,0.935
248655,1pm,False,14,1,6,eoox6r65PnH2kf7bL,58iSZSetxTXhF5hrB,1,1,5,19.297,0.693
248656,1pm,False,14,1,7,eoox6r65PnH2kf7bL,XSxvHwwNwBfusdi6R,1,1,5,22.77,1.122
248657,1pm,False,14,1,7,eoox6r65PnH2kf7bL,58iSZSetxTXhF5hrB,1,1,5,22.768,1.12
248658,1pm,False,14,1,8,eoox6r65PnH2kf7bL,58iSZSetxTXhF5hrB,1,1,5,25.779,1.268
248659,1pm,False,14,1,8,eoox6r65PnH2kf7bL,XSxvHwwNwBfusdi6R,1,1,5,26.293000000000003,1.7819999999999998
248660,1pm,False,14,1,9,eoox6r65PnH2kf7bL,58iSZSetxTXhF5hrB,1,0,1,30.11,0.848
248661,1pm,False,14,1,9,eoox6r65PnH2kf7bL,XSxvHwwNwBfusdi6R,0,1,7,31.011999999999997,1.75
248662,1pm,False,14,1,10,eoox6r65PnH2kf7bL,XSxvHwwNwBfusdi6R,0,0,3,35.437,1.455
248663,1pm,False,14,1,10,eoox6r65PnH2kf7bL,58iSZSetxTXhF5hrB,0,0,3,35.199,1.217
248664,1pm,False,14,1,1,t8A5SWRYsx8G59ZjW,oEdzXdEbM6o7wyYF5,1,1,5,4.976,5.0
248665,1pm,False,14,1,1,t8A5SWRYsx8G59ZjW,PvQ8B5kuA9Fbq9N59,1,1,5,4.977,5.001
248666,1pm,False,14,1,2,t8A5SWRYsx8G59ZjW,PvQ8B5kuA9Fbq9N59,1,1,5,6.331,1.025
248667,1pm,False,14,1,2,t8A5SWRYsx8G59ZjW,oEdzXdEbM6o7wyYF5,1,1,5,6.254,0.948
248668,1pm,False,14,1,3,t8A5SWRYsx8G59ZjW,oEdzXdEbM6o7wyYF5,1,1,5,8.833,1.014
248669,1pm,False,14,1,3,t8A5SWRYsx8G59ZjW,PvQ8B5kuA9Fbq9N59,1,1,5,10.573,2.7539999999999996
248670,1pm,False,14,1,4,t8A5SWRYsx8G59ZjW,oEdzXdEbM6o7wyYF5,1,1,5,23.87,10.933
248671,1pm,False,14,1,4,t8A5SWRYsx8G59ZjW,PvQ8B5kuA9Fbq9N59,1,1,5,13.74,0.8029999999999999
248672,1pm,False,14,1,5,t8A5SWRYsx8G59ZjW,oEdzXdEbM6o7wyYF5,1,1,5,28.261,0.753
248673,1pm,False,14,1,5,t8A5SWRYsx8G59ZjW,PvQ8B5kuA9Fbq9N59,1,1,5,28.565,1.057
248674,1pm,False,14,1,6,t8A5SWRYsx8G59ZjW,oEdzXdEbM6o7wyYF5,1,1,5,33.721,2.7510000000000003
248675,1pm,False,14,1,6,t8A5SWRYsx8G59ZjW,PvQ8B5kuA9Fbq9N59,1,1,5,32.076,1.1059999999999999
248676,1pm,False,14,1,7,t8A5SWRYsx8G59ZjW,PvQ8B5kuA9Fbq9N59,1,1,5,36.974000000000004,1.218
248677,1pm,False,14,1,7,t8A5SWRYsx8G59ZjW,oEdzXdEbM6o7wyYF5,1,1,5,37.312,1.556
248678,1pm,False,14,1,8,t8A5SWRYsx8G59ZjW,oEdzXdEbM6o7wyYF5,1,1,5,39.978,1.251
248679,1pm,False,14,1,8,t8A5SWRYsx8G59ZjW,PvQ8B5kuA9Fbq9N59,1,1,5,40.849000000000004,2.122
248680,1pm,False,14,1,9,t8A5SWRYsx8G59ZjW,PvQ8B5kuA9Fbq9N59,1,0,1,45.063,1.01
