,session,dropout,day,game,round,gameId,player,action,opp_action,payoff,total_time,time
356268,3pm,False,20,1,1,tEDogaCqF3W3WXm5H,Lb3ehSYefBwcE58qa,1,1,5,7.563,7.577000000000001
356269,3pm,False,20,1,1,tEDogaCqF3W3WXm5H,MS7JQFicG4pNdGyq8,1,1,5,7.612,7.626
356270,3pm,False,20,1,2,tEDogaCqF3W3WXm5H,MS7JQFicG4pNdGyq8,1,1,5,8.86,0.9940000000000001
356271,3pm,False,20,1,2,tEDogaCqF3W3WXm5H,Lb3ehSYefBwcE58qa,1,1,5,9.826,1.96
356272,3pm,False,20,1,3,tEDogaCqF3W3WXm5H,MS7JQFicG4pNdGyq8,1,1,5,11.800999999999998,0.9790000000000001
356273,3pm,False,20,1,3,tEDogaCqF3W3WXm5H,Lb3ehSYefBwcE58qa,1,1,5,11.799000000000001,0.977
356274,3pm,False,20,1,4,tEDogaCqF3W3WXm5H,MS7JQFicG4pNdGyq8,1,1,5,13.860999999999999,0.9540000000000001
356275,3pm,False,20,1,4,tEDogaCqF3W3WXm5H,Lb3ehSYefBwcE58qa,1,1,5,14.152999999999999,1.246
356276,3pm,False,20,1,5,tEDogaCqF3W3WXm5H,MS7JQFicG4pNdGyq8,1,1,5,16.372,0.609
356277,3pm,False,20,1,5,tEDogaCqF3W3WXm5H,Lb3ehSYefBwcE58qa,1,1,5,16.951,1.188
356278,3pm,False,20,1,6,tEDogaCqF3W3WXm5H,Lb3ehSYefBwcE58qa,1,1,5,19.035,0.583
356279,3pm,False,20,1,6,tEDogaCqF3W3WXm5H,MS7JQFicG4pNdGyq8,1,1,5,19.107,0.655
356280,3pm,False,20,1,7,tEDogaCqF3W3WXm5H,Lb3ehSYefBwcE58qa,1,1,5,21.811999999999998,1.22
356281,3pm,False,20,1,7,tEDogaCqF3W3WXm5H,MS7JQFicG4pNdGyq8,1,1,5,21.804000000000002,1.212
356282,3pm,False,20,1,8,tEDogaCqF3W3WXm5H,MS7JQFicG4pNdGyq8,0,1,7,23.945999999999998,0.6970000000000001
356283,3pm,False,20,1,8,tEDogaCqF3W3WXm5H,Lb3ehSYefBwcE58qa,1,0,1,23.873,0.624
356284,3pm,False,20,1,9,tEDogaCqF3W3WXm5H,Lb3ehSYefBwcE58qa,0,0,3,27.603,1.825
356285,3pm,False,20,1,9,tEDogaCqF3W3WXm5H,MS7JQFicG4pNdGyq8,0,0,3,26.807,1.0290000000000001
356286,3pm,False,20,1,10,tEDogaCqF3W3WXm5H,MS7JQFicG4pNdGyq8,0,0,3,30.752,0.932
356287,3pm,False,20,1,10,tEDogaCqF3W3WXm5H,Lb3ehSYefBwcE58qa,0,0,3,31.807,1.9869999999999999
356288,3pm,False,20,1,1,Qrj2wK4w9jGF92QR8,6LhxgMZpkBtWu5S2E,1,1,5,6.574,6.5889999999999995
356289,3pm,False,20,1,1,Qrj2wK4w9jGF92QR8,2ZxgYsamPEfwHW2FG,1,1,5,9.785,9.8
356290,3pm,False,20,1,2,Qrj2wK4w9jGF92QR8,2ZxgYsamPEfwHW2FG,1,1,5,12.674000000000001,0.6
356291,3pm,False,20,1,2,Qrj2wK4w9jGF92QR8,6LhxgMZpkBtWu5S2E,1,1,5,13.56,1.486
356292,3pm,False,20,1,3,Qrj2wK4w9jGF92QR8,2ZxgYsamPEfwHW2FG,1,1,5,15.99,0.58
356293,3pm,False,20,1,3,Qrj2wK4w9jGF92QR8,6LhxgMZpkBtWu5S2E,1,1,5,16.997,1.587
356294,3pm,False,20,1,4,Qrj2wK4w9jGF92QR8,2ZxgYsamPEfwHW2FG,1,1,5,19.875,1.42
356295,3pm,False,20,1,4,Qrj2wK4w9jGF92QR8,6LhxgMZpkBtWu5S2E,1,1,5,19.593,1.138
356296,3pm,False,20,1,5,Qrj2wK4w9jGF92QR8,6LhxgMZpkBtWu5S2E,1,1,5,23.513,1.175
356297,3pm,False,20,1,5,Qrj2wK4w9jGF92QR8,2ZxgYsamPEfwHW2FG,1,1,5,22.971,0.633
356298,3pm,False,20,1,6,Qrj2wK4w9jGF92QR8,2ZxgYsamPEfwHW2FG,1,1,5,26.579,1.16
356299,3pm,False,20,1,6,Qrj2wK4w9jGF92QR8,6LhxgMZpkBtWu5S2E,1,1,5,26.573,1.1540000000000001
356300,3pm,False,20,1,7,Qrj2wK4w9jGF92QR8,2ZxgYsamPEfwHW2FG,1,1,5,28.533,0.6659999999999999
356301,3pm,False,20,1,7,Qrj2wK4w9jGF92QR8,6LhxgMZpkBtWu5S2E,1,1,5,29.599,1.732
356302,3pm,False,20,1,8,Qrj2wK4w9jGF92QR8,2ZxgYsamPEfwHW2FG,1,1,5,32.865,0.568
356303,3pm,False,20,1,8,Qrj2wK4w9jGF92QR8,6LhxgMZpkBtWu5S2E,1,1,5,34.38,2.083
356304,3pm,False,20,1,9,Qrj2wK4w9jGF92QR8,6LhxgMZpkBtWu5S2E,1,1,5,38.505,1.3230000000000002
356305,3pm,False,20,1,9,Qrj2wK4w9jGF92QR8,2ZxgYsamPEfwHW2FG,1,1,5,37.872,0.69
356306,3pm,False,20,1,10,Qrj2wK4w9jGF92QR8,6LhxgMZpkBtWu5S2E,1,1,5,42.077,1.567
356307,3pm,False,20,1,10,Qrj2wK4w9jGF92QR8,2ZxgYsamPEfwHW2FG,1,1,5,41.631,1.121
356308,3pm,False,20,1,1,CwGNk7ubPABAEcu8Y,m2qCcsBQ5PodLDdSa,1,1,5,6.399,6.428999999999999
356309,3pm,False,20,1,1,CwGNk7ubPABAEcu8Y,wcDZ36ubBrqbAckBb,1,1,5,10.205,10.235
356310,3pm,False,20,1,2,CwGNk7ubPABAEcu8Y,m2qCcsBQ5PodLDdSa,1,1,5,13.362,1.112
356311,3pm,False,20,1,2,CwGNk7ubPABAEcu8Y,wcDZ36ubBrqbAckBb,1,1,5,22.272,10.022
356312,3pm,False,20,1,3,CwGNk7ubPABAEcu8Y,m2qCcsBQ5PodLDdSa,1,1,5,24.808000000000003,1.097
356313,3pm,False,20,1,3,CwGNk7ubPABAEcu8Y,wcDZ36ubBrqbAckBb,1,1,5,31.409000000000002,7.6979999999999995
356314,3pm,False,20,1,4,CwGNk7ubPABAEcu8Y,wcDZ36ubBrqbAckBb,1,1,5,40.381,7.278
356315,3pm,False,20,1,4,CwGNk7ubPABAEcu8Y,m2qCcsBQ5PodLDdSa,1,1,5,34.445,1.3419999999999999
356316,3pm,False,20,1,5,CwGNk7ubPABAEcu8Y,m2qCcsBQ5PodLDdSa,1,1,5,43.985,1.058
356317,3pm,False,20,1,5,CwGNk7ubPABAEcu8Y,wcDZ36ubBrqbAckBb,1,1,5,52.691,9.764
356318,3pm,False,20,1,6,CwGNk7ubPABAEcu8Y,m2qCcsBQ5PodLDdSa,1,1,5,53.648999999999994,0.8320000000000001
356319,3pm,False,20,1,6,CwGNk7ubPABAEcu8Y,wcDZ36ubBrqbAckBb,1,1,5,54.446999999999996,1.63
356320,3pm,False,20,1,7,CwGNk7ubPABAEcu8Y,wcDZ36ubBrqbAckBb,1,1,5,56.411,1.278
356321,3pm,False,20,1,7,CwGNk7ubPABAEcu8Y,m2qCcsBQ5PodLDdSa,1,1,5,56.097,0.9640000000000001
356322,3pm,False,20,1,8,CwGNk7ubPABAEcu8Y,m2qCcsBQ5PodLDdSa,1,1,5,57.711999999999996,0.902
356323,3pm,False,20,1,8,CwGNk7ubPABAEcu8Y,wcDZ36ubBrqbAckBb,1,1,5,57.412,0.602
356324,3pm,False,20,1,9,CwGNk7ubPABAEcu8Y,wcDZ36ubBrqbAckBb,1,1,5,58.525,0.691
356325,3pm,False,20,1,9,CwGNk7ubPABAEcu8Y,m2qCcsBQ5PodLDdSa,1,1,5,58.965,1.131
356326,3pm,False,20,1,10,CwGNk7ubPABAEcu8Y,m2qCcsBQ5PodLDdSa,0,1,7,60.851000000000006,1.43
356327,3pm,False,20,1,10,CwGNk7ubPABAEcu8Y,wcDZ36ubBrqbAckBb,1,0,1,60.668,1.247
