,session,dropout,day,game,round,gameId,player,action,opp_action,payoff,total_time,time
230316,1pm,False,13,1,1,rGGfMZuKdAxDYB377,xnAjMcWaFRpfBbukz,1,1,5,9.496,9.51
230317,1pm,False,13,1,1,rGGfMZuKdAxDYB377,xH8gnN6xZ9tWFkmrD,1,1,5,5.905,5.919
230318,1pm,False,13,1,2,rGGfMZuKdAxDYB377,xH8gnN6xZ9tWFkmrD,1,1,5,12.095,1.172
230319,1pm,False,13,1,2,rGGfMZuKdAxDYB377,xnAjMcWaFRpfBbukz,1,1,5,13.309000000000001,2.386
230320,1pm,False,13,1,3,rGGfMZuKdAxDYB377,xnAjMcWaFRpfBbukz,1,1,5,19.215999999999998,5.229
230321,1pm,False,13,1,3,rGGfMZuKdAxDYB377,xH8gnN6xZ9tWFkmrD,1,1,5,16.069000000000003,2.082
230322,1pm,False,13,1,4,rGGfMZuKdAxDYB377,xH8gnN6xZ9tWFkmrD,1,1,5,22.105999999999998,1.249
230323,1pm,False,13,1,4,rGGfMZuKdAxDYB377,xnAjMcWaFRpfBbukz,1,1,5,21.828000000000003,0.971
230324,1pm,False,13,1,5,rGGfMZuKdAxDYB377,xH8gnN6xZ9tWFkmrD,1,1,5,25.558000000000003,1.726
230325,1pm,False,13,1,5,rGGfMZuKdAxDYB377,xnAjMcWaFRpfBbukz,1,1,5,29.245,5.412999999999999
230326,1pm,False,13,1,6,rGGfMZuKdAxDYB377,xnAjMcWaFRpfBbukz,1,1,5,33.312,2.2430000000000003
230327,1pm,False,13,1,6,rGGfMZuKdAxDYB377,xH8gnN6xZ9tWFkmrD,1,1,5,32.104,1.035
230328,1pm,False,13,1,7,rGGfMZuKdAxDYB377,xH8gnN6xZ9tWFkmrD,1,1,5,38.094,3.738
230329,1pm,False,13,1,7,rGGfMZuKdAxDYB377,xnAjMcWaFRpfBbukz,1,1,5,37.404,3.048
230330,1pm,False,13,1,8,rGGfMZuKdAxDYB377,xH8gnN6xZ9tWFkmrD,1,1,5,45.129,2.701
230331,1pm,False,13,1,8,rGGfMZuKdAxDYB377,xnAjMcWaFRpfBbukz,1,1,5,43.596000000000004,1.168
230332,1pm,False,13,1,9,rGGfMZuKdAxDYB377,xnAjMcWaFRpfBbukz,1,1,5,48.788999999999994,1.6869999999999998
230333,1pm,False,13,1,9,rGGfMZuKdAxDYB377,xH8gnN6xZ9tWFkmrD,1,1,5,53.361999999999995,6.26
230334,1pm,False,13,1,10,rGGfMZuKdAxDYB377,xnAjMcWaFRpfBbukz,1,1,5,59.31399999999999,5.811
230335,1pm,False,13,1,10,rGGfMZuKdAxDYB377,xH8gnN6xZ9tWFkmrD,1,1,5,55.11,1.607
230336,1pm,False,13,1,1,TDnQiDaPNS3gGjiQ7,GwfkQ6SGEuBj2RMoW,1,1,5,5.947,5.979
230337,1pm,False,13,1,1,TDnQiDaPNS3gGjiQ7,Yi5onNEa2ZsPrMn2g,1,1,5,13.877,13.909
230338,1pm,False,13,1,2,TDnQiDaPNS3gGjiQ7,Yi5onNEa2ZsPrMn2g,1,1,5,15.937000000000001,1.0959999999999999
230339,1pm,False,13,1,2,TDnQiDaPNS3gGjiQ7,GwfkQ6SGEuBj2RMoW,1,1,5,16.848,2.0069999999999997
230340,1pm,False,13,1,3,TDnQiDaPNS3gGjiQ7,Yi5onNEa2ZsPrMn2g,1,1,5,22.798000000000002,4.5889999999999995
230341,1pm,False,13,1,3,TDnQiDaPNS3gGjiQ7,GwfkQ6SGEuBj2RMoW,1,1,5,19.046,0.8370000000000001
230342,1pm,False,13,1,4,TDnQiDaPNS3gGjiQ7,GwfkQ6SGEuBj2RMoW,1,1,5,25.078000000000003,0.9279999999999999
230343,1pm,False,13,1,4,TDnQiDaPNS3gGjiQ7,Yi5onNEa2ZsPrMn2g,1,1,5,25.103,0.953
230344,1pm,False,13,1,5,TDnQiDaPNS3gGjiQ7,Yi5onNEa2ZsPrMn2g,1,1,5,28.584,0.889
230345,1pm,False,13,1,5,TDnQiDaPNS3gGjiQ7,GwfkQ6SGEuBj2RMoW,1,1,5,28.641,0.946
230346,1pm,False,13,1,6,TDnQiDaPNS3gGjiQ7,Yi5onNEa2ZsPrMn2g,1,1,5,31.85,1.486
230347,1pm,False,13,1,6,TDnQiDaPNS3gGjiQ7,GwfkQ6SGEuBj2RMoW,1,1,5,31.204,0.84
230348,1pm,False,13,1,7,TDnQiDaPNS3gGjiQ7,GwfkQ6SGEuBj2RMoW,1,1,5,34.232,0.871
230349,1pm,False,13,1,7,TDnQiDaPNS3gGjiQ7,Yi5onNEa2ZsPrMn2g,1,1,5,34.185,0.8240000000000001
230350,1pm,False,13,1,8,TDnQiDaPNS3gGjiQ7,Yi5onNEa2ZsPrMn2g,1,1,5,39.118,1.4480000000000002
230351,1pm,False,13,1,8,TDnQiDaPNS3gGjiQ7,GwfkQ6SGEuBj2RMoW,1,1,5,39.872,2.202
230352,1pm,False,13,1,9,TDnQiDaPNS3gGjiQ7,GwfkQ6SGEuBj2RMoW,1,1,5,44.248999999999995,1.45
230353,1pm,False,13,1,9,TDnQiDaPNS3gGjiQ7,Yi5onNEa2ZsPrMn2g,1,1,5,43.806000000000004,1.0070000000000001
230354,1pm,False,13,1,10,TDnQiDaPNS3gGjiQ7,GwfkQ6SGEuBj2RMoW,1,1,5,47.402,1.6119999999999999
230355,1pm,False,13,1,10,TDnQiDaPNS3gGjiQ7,Yi5onNEa2ZsPrMn2g,1,1,5,47.148,1.358
230356,1pm,False,13,1,1,DjMKRNKM8ov5Z8cQX,3wby46KA2teqmGccW,1,1,5,39.821999999999996,39.835
230357,1pm,False,13,1,1,DjMKRNKM8ov5Z8cQX,XSxvHwwNwBfusdi6R,1,1,5,4.109,4.122
230358,1pm,False,13,1,2,DjMKRNKM8ov5Z8cQX,XSxvHwwNwBfusdi6R,1,1,5,44.691,1.964
230359,1pm,False,13,1,2,DjMKRNKM8ov5Z8cQX,3wby46KA2teqmGccW,1,1,5,43.492,0.765
230360,1pm,False,13,1,3,DjMKRNKM8ov5Z8cQX,3wby46KA2teqmGccW,1,1,5,47.464,0.644
230361,1pm,False,13,1,3,DjMKRNKM8ov5Z8cQX,XSxvHwwNwBfusdi6R,1,1,5,48.846000000000004,2.026
230362,1pm,False,13,1,4,DjMKRNKM8ov5Z8cQX,XSxvHwwNwBfusdi6R,1,1,5,51.663999999999994,2.6919999999999997
230363,1pm,False,13,1,4,DjMKRNKM8ov5Z8cQX,3wby46KA2teqmGccW,1,1,5,49.726000000000006,0.754
230364,1pm,False,13,1,5,DjMKRNKM8ov5Z8cQX,3wby46KA2teqmGccW,1,1,5,52.565,0.644
230365,1pm,False,13,1,5,DjMKRNKM8ov5Z8cQX,XSxvHwwNwBfusdi6R,1,1,5,53.387,1.466
230366,1pm,False,13,1,6,DjMKRNKM8ov5Z8cQX,3wby46KA2teqmGccW,1,1,5,54.438,0.912
230367,1pm,False,13,1,6,DjMKRNKM8ov5Z8cQX,XSxvHwwNwBfusdi6R,1,1,5,55.102,1.5759999999999998
230368,1pm,False,13,1,7,DjMKRNKM8ov5Z8cQX,XSxvHwwNwBfusdi6R,1,1,5,56.678999999999995,1.45
230369,1pm,False,13,1,7,DjMKRNKM8ov5Z8cQX,3wby46KA2teqmGccW,1,1,5,56.678000000000004,1.449
230370,1pm,False,13,1,8,DjMKRNKM8ov5Z8cQX,XSxvHwwNwBfusdi6R,1,1,5,58.753,1.7690000000000001
230371,1pm,False,13,1,8,DjMKRNKM8ov5Z8cQX,3wby46KA2teqmGccW,1,1,5,57.909,0.925
230372,1pm,False,13,1,9,DjMKRNKM8ov5Z8cQX,3wby46KA2teqmGccW,1,0,1,60.347,1.476
230373,1pm,False,13,1,9,DjMKRNKM8ov5Z8cQX,XSxvHwwNwBfusdi6R,0,1,7,59.754,0.883
230374,1pm,False,13,1,10,DjMKRNKM8ov5Z8cQX,3wby46KA2teqmGccW,0,0,3,61.35,0.8490000000000001
230375,1pm,False,13,1,10,DjMKRNKM8ov5Z8cQX,XSxvHwwNwBfusdi6R,0,0,3,61.793,1.2919999999999998
230376,1pm,False,13,1,1,iMZNnNQKRWEwq3RYw,RzxX5wdD5d7CAaYjT,1,1,5,4.5,4.513999999999999
230377,1pm,False,13,1,1,iMZNnNQKRWEwq3RYw,Mn8Mhh4DdiW724yZ3,1,1,5,3.965,3.9789999999999996
230378,1pm,False,13,1,2,iMZNnNQKRWEwq3RYw,Mn8Mhh4DdiW724yZ3,1,1,5,6.489,1.742
230379,1pm,False,13,1,2,iMZNnNQKRWEwq3RYw,RzxX5wdD5d7CAaYjT,1,1,5,9.897,5.15
230380,1pm,False,13,1,3,iMZNnNQKRWEwq3RYw,Mn8Mhh4DdiW724yZ3,1,1,5,12.544,0.816
230381,1pm,False,13,1,3,iMZNnNQKRWEwq3RYw,RzxX5wdD5d7CAaYjT,1,1,5,14.488,2.76
230382,1pm,False,13,1,4,iMZNnNQKRWEwq3RYw,RzxX5wdD5d7CAaYjT,1,1,5,18.744,3.177
230383,1pm,False,13,1,4,iMZNnNQKRWEwq3RYw,Mn8Mhh4DdiW724yZ3,1,1,5,16.496,0.929
230384,1pm,False,13,1,5,iMZNnNQKRWEwq3RYw,RzxX5wdD5d7CAaYjT,1,1,5,23.64,2.141
230385,1pm,False,13,1,5,iMZNnNQKRWEwq3RYw,Mn8Mhh4DdiW724yZ3,1,1,5,22.69,1.1909999999999998
230386,1pm,False,13,1,6,iMZNnNQKRWEwq3RYw,RzxX5wdD5d7CAaYjT,1,1,5,29.75,4.48
230387,1pm,False,13,1,6,iMZNnNQKRWEwq3RYw,Mn8Mhh4DdiW724yZ3,1,1,5,26.505,1.235
230388,1pm,False,13,1,7,iMZNnNQKRWEwq3RYw,Mn8Mhh4DdiW724yZ3,1,1,5,33.023,0.655
230389,1pm,False,13,1,7,iMZNnNQKRWEwq3RYw,RzxX5wdD5d7CAaYjT,1,1,5,36.903,4.535
230390,1pm,False,13,1,8,iMZNnNQKRWEwq3RYw,Mn8Mhh4DdiW724yZ3,1,1,5,42.356,0.6679999999999999
230391,1pm,False,13,1,8,iMZNnNQKRWEwq3RYw,RzxX5wdD5d7CAaYjT,1,1,5,42.637,0.9490000000000001
230392,1pm,False,13,1,9,iMZNnNQKRWEwq3RYw,Mn8Mhh4DdiW724yZ3,0,1,7,44.528999999999996,1.3869999999999998
230393,1pm,False,13,1,9,iMZNnNQKRWEwq3RYw,RzxX5wdD5d7CAaYjT,1,0,1,44.528999999999996,1.3869999999999998
230394,1pm,False,13,1,10,iMZNnNQKRWEwq3RYw,Mn8Mhh4DdiW724yZ3,0,1,7,47.825,1.053
230395,1pm,False,13,1,10,iMZNnNQKRWEwq3RYw,RzxX5wdD5d7CAaYjT,1,0,1,47.743,0.971
230396,1pm,False,13,1,1,Bf2azW5vEtfM6aD2x,tWA9ZxSnKpZyWwYsQ,1,1,5,7.23,7.242999999999999
230397,1pm,False,13,1,1,Bf2azW5vEtfM6aD2x,EKkrMpMqy2PRLm7ur,1,1,5,5.56,5.5729999999999995
230398,1pm,False,13,1,2,Bf2azW5vEtfM6aD2x,tWA9ZxSnKpZyWwYsQ,1,1,5,10.058,2.318
230399,1pm,False,13,1,2,Bf2azW5vEtfM6aD2x,EKkrMpMqy2PRLm7ur,1,1,5,9.392999999999999,1.653
230400,1pm,False,13,1,3,Bf2azW5vEtfM6aD2x,tWA9ZxSnKpZyWwYsQ,1,1,5,13.755999999999998,1.693
230401,1pm,False,13,1,3,Bf2azW5vEtfM6aD2x,EKkrMpMqy2PRLm7ur,1,1,5,13.035,0.972
230402,1pm,False,13,1,4,Bf2azW5vEtfM6aD2x,EKkrMpMqy2PRLm7ur,1,1,5,16.346,1.305
230403,1pm,False,13,1,4,Bf2azW5vEtfM6aD2x,tWA9ZxSnKpZyWwYsQ,1,1,5,16.984,1.943
230404,1pm,False,13,1,5,Bf2azW5vEtfM6aD2x,tWA9ZxSnKpZyWwYsQ,1,1,5,19.942999999999998,1.9
230405,1pm,False,13,1,5,Bf2azW5vEtfM6aD2x,EKkrMpMqy2PRLm7ur,1,1,5,18.861,0.818
230406,1pm,False,13,1,6,Bf2azW5vEtfM6aD2x,tWA9ZxSnKpZyWwYsQ,1,1,5,24.423000000000002,1.791
230407,1pm,False,13,1,6,Bf2azW5vEtfM6aD2x,EKkrMpMqy2PRLm7ur,1,1,5,23.462,0.83
230408,1pm,False,13,1,7,Bf2azW5vEtfM6aD2x,tWA9ZxSnKpZyWwYsQ,1,1,5,27.221999999999998,1.7530000000000001
230409,1pm,False,13,1,7,Bf2azW5vEtfM6aD2x,EKkrMpMqy2PRLm7ur,1,1,5,26.453000000000003,0.9840000000000001
230410,1pm,False,13,1,8,Bf2azW5vEtfM6aD2x,EKkrMpMqy2PRLm7ur,1,1,5,29.504,0.835
230411,1pm,False,13,1,8,Bf2azW5vEtfM6aD2x,tWA9ZxSnKpZyWwYsQ,1,1,5,31.349,2.68
230412,1pm,False,13,1,9,Bf2azW5vEtfM6aD2x,tWA9ZxSnKpZyWwYsQ,1,1,5,34.899,1.932
230413,1pm,False,13,1,9,Bf2azW5vEtfM6aD2x,EKkrMpMqy2PRLm7ur,1,1,5,34.357,1.39
230414,1pm,False,13,1,10,Bf2azW5vEtfM6aD2x,tWA9ZxSnKpZyWwYsQ,1,1,5,40.157,2.046
230415,1pm,False,13,1,10,Bf2azW5vEtfM6aD2x,EKkrMpMqy2PRLm7ur,1,1,5,39.37,1.2590000000000001
230416,1pm,False,13,1,1,aLgSYGZSzBKNEfPvj,JeZKmXZdRgdiHQaHF,1,1,5,5.412000000000001,5.421
230417,1pm,False,13,1,1,aLgSYGZSzBKNEfPvj,dvhRkrMPQ9RCj4NNr,1,1,5,5.142,5.151
230418,1pm,False,13,1,2,aLgSYGZSzBKNEfPvj,dvhRkrMPQ9RCj4NNr,1,1,5,7.843,1.217
230419,1pm,False,13,1,2,aLgSYGZSzBKNEfPvj,JeZKmXZdRgdiHQaHF,1,1,5,8.164,1.538
230420,1pm,False,13,1,3,aLgSYGZSzBKNEfPvj,dvhRkrMPQ9RCj4NNr,1,1,5,9.802999999999999,1.25
230421,1pm,False,13,1,3,aLgSYGZSzBKNEfPvj,JeZKmXZdRgdiHQaHF,1,1,5,9.821,1.268
230422,1pm,False,13,1,4,aLgSYGZSzBKNEfPvj,JeZKmXZdRgdiHQaHF,1,1,5,13.769,1.96
230423,1pm,False,13,1,4,aLgSYGZSzBKNEfPvj,dvhRkrMPQ9RCj4NNr,1,1,5,12.532,0.723
230424,1pm,False,13,1,5,aLgSYGZSzBKNEfPvj,dvhRkrMPQ9RCj4NNr,1,1,5,16.03,0.987
230425,1pm,False,13,1,5,aLgSYGZSzBKNEfPvj,JeZKmXZdRgdiHQaHF,1,1,5,18.47,3.427
230426,1pm,False,13,1,6,aLgSYGZSzBKNEfPvj,dvhRkrMPQ9RCj4NNr,1,1,5,22.493000000000002,0.794
230427,1pm,False,13,1,6,aLgSYGZSzBKNEfPvj,JeZKmXZdRgdiHQaHF,1,1,5,22.813000000000002,1.114
230428,1pm,False,13,1,7,aLgSYGZSzBKNEfPvj,dvhRkrMPQ9RCj4NNr,1,1,5,24.557,0.943
230429,1pm,False,13,1,7,aLgSYGZSzBKNEfPvj,JeZKmXZdRgdiHQaHF,1,1,5,26.209,2.595
230430,1pm,False,13,1,8,aLgSYGZSzBKNEfPvj,dvhRkrMPQ9RCj4NNr,1,1,5,29.209,1.56
230431,1pm,False,13,1,8,aLgSYGZSzBKNEfPvj,JeZKmXZdRgdiHQaHF,1,1,5,29.213,1.564
230432,1pm,False,13,1,9,aLgSYGZSzBKNEfPvj,JeZKmXZdRgdiHQaHF,1,1,5,33.14,1.632
230433,1pm,False,13,1,9,aLgSYGZSzBKNEfPvj,dvhRkrMPQ9RCj4NNr,1,1,5,33.671,2.1630000000000003
230434,1pm,False,13,1,10,aLgSYGZSzBKNEfPvj,dvhRkrMPQ9RCj4NNr,1,1,5,37.611999999999995,1.4069999999999998
230435,1pm,False,13,1,10,aLgSYGZSzBKNEfPvj,JeZKmXZdRgdiHQaHF,1,1,5,39.213,3.008
