,session,dropout,day,game,round,gameId,player,action,opp_action,payoff,total_time,time
302378,1pm,False,17,1,1,jsoNM3FYxp8Ex5CPb,EqbbmngPfZBEmPTzq,1,1,5,3.264,3.278
302379,1pm,False,17,1,1,jsoNM3FYxp8Ex5CPb,tSEAiJdi4ZfwHJqF8,1,1,5,6.015,6.029
302380,1pm,False,17,1,2,jsoNM3FYxp8Ex5CPb,tSEAiJdi4ZfwHJqF8,1,1,5,8.695,2.496
302381,1pm,False,17,1,2,jsoNM3FYxp8Ex5CPb,EqbbmngPfZBEmPTzq,1,1,5,7.263999999999999,1.065
302382,1pm,False,17,1,3,jsoNM3FYxp8Ex5CPb,EqbbmngPfZBEmPTzq,1,1,5,10.09,1.206
302383,1pm,False,17,1,3,jsoNM3FYxp8Ex5CPb,tSEAiJdi4ZfwHJqF8,1,1,5,10.096,1.212
302384,1pm,False,17,1,4,jsoNM3FYxp8Ex5CPb,tSEAiJdi4ZfwHJqF8,1,1,5,13.232000000000001,0.627
302385,1pm,False,17,1,4,jsoNM3FYxp8Ex5CPb,EqbbmngPfZBEmPTzq,1,1,5,13.26,0.655
302386,1pm,False,17,1,5,jsoNM3FYxp8Ex5CPb,tSEAiJdi4ZfwHJqF8,1,1,5,17.09,1.1740000000000002
302387,1pm,False,17,1,5,jsoNM3FYxp8Ex5CPb,EqbbmngPfZBEmPTzq,1,1,5,17.089000000000002,1.173
302388,1pm,False,17,1,6,jsoNM3FYxp8Ex5CPb,EqbbmngPfZBEmPTzq,1,1,5,20.648000000000003,1.913
302389,1pm,False,17,1,6,jsoNM3FYxp8Ex5CPb,tSEAiJdi4ZfwHJqF8,1,1,5,19.362000000000002,0.627
302390,1pm,False,17,1,7,jsoNM3FYxp8Ex5CPb,tSEAiJdi4ZfwHJqF8,1,1,5,25.1,1.1640000000000001
302391,1pm,False,17,1,7,jsoNM3FYxp8Ex5CPb,EqbbmngPfZBEmPTzq,1,1,5,25.099,1.163
302392,1pm,False,17,1,8,jsoNM3FYxp8Ex5CPb,tSEAiJdi4ZfwHJqF8,1,1,5,28.703000000000003,0.5820000000000001
302393,1pm,False,17,1,8,jsoNM3FYxp8Ex5CPb,EqbbmngPfZBEmPTzq,1,1,5,29.124000000000002,1.003
302394,1pm,False,17,1,9,jsoNM3FYxp8Ex5CPb,EqbbmngPfZBEmPTzq,1,0,1,32.1,1.115
302395,1pm,False,17,1,9,jsoNM3FYxp8Ex5CPb,tSEAiJdi4ZfwHJqF8,0,1,7,32.102,1.117
